client_id,birth_number,district_id,birthdate,gender,birth_month,age,age_group
1,706213,18,1970-12-13,Female,12,56,46-60
2,450204,1,1945-02-04,Male,2,81,60+
3,406009,1,1940-10-09,Female,10,86,60+
4,561201,5,1956-12-01,Male,12,70,60+
5,605703,5,1960-07-03,Female,7,66,60+
6,190922,12,1919-09-22,Male,9,107,
7,290125,15,1929-01-25,Male,1,97,60+
8,385221,51,1938-02-21,Female,2,88,60+
9,351016,60,1935-10-16,Male,10,91,60+
10,430501,57,1943-05-01,Male,5,83,60+
11,505822,57,1950-08-22,Female,8,76,60+
12,810220,40,1981-02-20,Male,2,45,31-45
13,745529,54,1974-05-29,Female,5,52,46-60
14,425622,76,1942-06-22,Female,6,84,60+
15,185828,21,1918-08-28,Female,8,108,
16,190225,21,1919-02-25,Male,2,107,
17,341013,76,1934-10-13,Male,10,92,60+
18,315405,76,1931-04-05,Female,4,95,60+
19,421228,47,1942-12-28,Male,12,84,60+
20,790104,46,1979-01-04,Male,1,47,46-60
21,526029,12,1952-10-29,Female,10,74,60+
22,696011,1,1969-10-11,Female,10,57,46-60
23,730529,1,1973-05-29,Male,5,53,46-60
24,395729,43,1939-07-29,Female,7,87,60+
25,395423,21,1939-04-23,Female,4,87,60+
26,695420,74,1969-04-20,Female,4,57,46-60
27,665326,54,1966-03-26,Female,3,60,46-60
28,450929,1,1945-09-29,Male,9,81,60+
29,515911,30,1951-09-11,Female,9,75,60+
30,576009,74,1957-10-09,Female,10,69,60+
31,620209,68,1962-02-09,Male,2,64,60+
32,800728,52,1980-07-28,Male,7,46,46-60
33,486204,73,1948-12-04,Female,12,78,60+
36,785717,7,1978-07-17,Female,7,48,46-60
37,700810,7,1970-08-10,Male,8,56,46-60
38,735723,36,1973-07-23,Female,7,53,46-60
39,680125,68,1968-01-25,Male,1,58,46-60
40,575122,5,1957-01-22,Female,1,69,60+
41,680827,22,1968-08-27,Male,8,58,46-60
42,350817,68,1935-08-17,Male,8,91,60+
43,201028,75,1920-10-28,Male,10,106,
44,775111,38,1977-01-11,Female,1,49,46-60
45,520826,20,1952-08-26,Male,8,74,60+
46,405130,19,1940-01-30,Female,1,86,60+
47,340714,76,1934-07-14,Male,7,92,60+
48,400209,16,1940-02-09,Male,2,86,60+
49,595511,72,1959-05-11,Female,5,67,60+
50,785730,39,1978-07-30,Female,7,48,46-60
51,796202,36,1979-12-02,Female,12,47,46-60
52,241212,32,1924-12-12,Male,12,102,
53,770505,64,1977-05-05,Male,5,49,46-60
55,485918,45,1948-09-18,Female,9,78,60+
56,600331,21,1960-03-31,Male,3,66,60+
57,616217,21,1961-12-17,Female,12,65,60+
58,275429,1,1927-04-29,Female,4,99,60+
59,570218,1,1957-02-18,Male,2,69,60+
60,800219,67,1980-02-19,Male,2,46,46-60
61,485806,16,1948-08-06,Female,8,78,60+
62,321208,77,1932-12-08,Male,12,94,60+
63,590604,4,1959-06-04,Male,6,67,60+
64,260422,20,1926-04-22,Male,4,100,60+
65,435527,50,1943-05-27,Female,5,83,60+
66,516110,1,1951-11-10,Female,11,75,60+
67,326111,29,1932-11-11,Female,11,94,60+
68,461214,43,1946-12-14,Male,12,80,60+
70,251222,70,1925-12-22,Male,12,101,
71,275206,70,1927-02-06,Female,2,99,60+
72,230113,47,1923-01-13,Male,1,103,
73,240220,22,1924-02-20,Male,2,102,
74,255726,22,1925-07-26,Female,7,101,
75,775919,64,1977-09-19,Female,9,49,46-60
76,676001,36,1967-10-01,Female,10,59,46-60
77,565218,1,1956-02-18,Female,2,70,60+
78,445613,16,1944-06-13,Female,6,82,60+
79,695310,37,1969-03-10,Female,3,57,46-60
80,795225,64,1979-02-25,Female,2,47,46-60
81,760429,8,1976-04-29,Male,4,50,46-60
82,796225,8,1979-12-25,Female,12,47,46-60
83,786225,1,1978-12-25,Female,12,48,46-60
84,790505,1,1979-05-05,Male,5,47,46-60
85,610827,1,1961-08-27,Male,8,65,60+
86,695720,1,1969-07-20,Female,7,57,46-60
87,466117,72,1946-11-17,Female,11,80,60+
89,515505,1,1951-05-05,Female,5,75,60+
90,750817,52,1975-08-17,Male,8,51,46-60
91,400807,63,1940-08-07,Male,8,86,60+
92,665612,74,1966-06-12,Female,6,60,46-60
93,250216,3,1925-02-16,Male,2,101,
94,470909,43,1947-09-09,Male,9,79,60+
95,525803,43,1952-08-03,Female,8,74,60+
96,720229,74,1972-02-29,Male,2,54,46-60
97,651128,26,1965-11-28,Male,11,61,60+
98,735504,33,1973-05-04,Female,5,53,46-60
99,730126,33,1973-01-26,Male,1,53,46-60
100,425811,44,1942-08-11,Female,8,84,60+
101,430123,68,1943-01-23,Male,1,83,60+
102,585910,74,1958-09-10,Female,9,68,60+
103,550711,74,1955-07-11,Male,7,71,60+
105,800526,31,1980-05-26,Male,5,46,46-60
106,686230,68,1968-12-30,Female,12,58,46-60
107,720623,1,1972-06-23,Male,6,54,46-60
108,630913,17,1963-09-13,Male,9,63,60+
110,675413,2,1967-04-13,Female,4,59,46-60
112,350125,1,1935-01-25,Male,1,91,60+
113,405815,1,1940-08-15,Female,8,86,60+
114,695624,74,1969-06-24,Female,6,57,46-60
115,691224,74,1969-12-24,Male,12,57,46-60
116,420128,74,1942-01-28,Male,1,84,60+
117,365920,74,1936-09-20,Female,9,90,60+
118,220719,55,1922-07-19,Male,7,104,
119,225228,55,1922-02-28,Female,2,104,
120,760510,1,1976-05-10,Male,5,50,46-60
121,786029,41,1978-10-29,Female,10,48,46-60
122,636113,35,1963-11-13,Female,11,63,60+
123,690212,11,1969-02-12,Male,2,57,46-60
124,670921,44,1967-09-21,Male,9,59,46-60
125,361031,37,1936-10-31,Male,10,90,60+
126,295927,37,1929-09-27,Female,9,97,60+
127,506227,21,1950-12-27,Female,12,76,60+
128,735404,63,1973-04-04,Female,4,53,46-60
129,475531,64,1947-05-31,Female,5,79,60+
130,420214,53,1942-02-14,Male,2,84,60+
131,775131,53,1977-01-31,Female,1,49,46-60
132,530126,36,1953-01-26,Male,1,73,60+
134,320118,6,1932-01-18,Male,1,94,60+
135,385910,6,1938-09-10,Female,9,88,60+
136,215126,55,1921-01-26,Female,1,105,
137,230914,60,1923-09-14,Male,9,103,
138,726021,54,1972-10-21,Female,10,54,46-60
139,595725,8,1959-07-25,Female,7,67,60+
140,610606,8,1961-06-06,Male,6,65,60+
141,251102,31,1925-11-02,Male,11,101,
142,370621,68,1937-06-21,Male,6,89,60+
143,780709,27,1978-07-09,Male,7,48,46-60
144,581206,65,1958-12-06,Male,12,68,60+
145,780214,55,1978-02-14,Male,2,48,46-60
146,616219,31,1961-12-19,Female,12,65,60+
147,336102,21,1933-11-02,Female,11,93,60+
148,401225,21,1940-12-25,Male,12,86,60+
149,480627,55,1948-06-27,Male,6,78,60+
150,805927,2,1980-09-27,Female,9,46,46-60
151,715923,51,1971-09-23,Female,9,55,46-60
152,456202,29,1945-12-02,Female,12,81,60+
153,815212,13,1981-02-12,Female,2,45,31-45
154,330827,74,1933-08-27,Male,8,93,60+
155,395313,74,1939-03-13,Female,3,87,60+
156,305722,54,1930-07-22,Female,7,96,60+
157,435709,52,1943-07-09,Female,7,83,60+
158,455703,40,1945-07-03,Female,7,81,60+
159,380910,40,1938-09-10,Male,9,88,60+
160,425426,64,1942-04-26,Female,4,84,60+
161,436007,34,1943-10-07,Female,10,83,60+
162,411017,65,1941-10-17,Male,10,85,60+
163,330612,74,1933-06-12,Male,6,93,60+
164,625404,70,1962-04-04,Female,4,64,60+
165,681108,22,1968-11-08,Male,11,58,46-60
166,616022,22,1961-10-22,Female,10,65,60+
167,785418,38,1978-04-18,Female,4,48,46-60
168,766105,24,1976-11-05,Female,11,50,46-60
169,530912,38,1953-09-12,Male,9,73,60+
170,465616,38,1946-06-16,Female,6,80,60+
171,290625,51,1929-06-25,Male,6,97,60+
172,356005,51,1935-10-05,Female,10,91,60+
173,186208,21,1918-12-08,Female,12,108,
174,781110,10,1978-11-10,Male,11,48,46-60
175,600713,31,1960-07-13,Male,7,66,60+
176,290311,4,1929-03-11,Male,3,97,60+
178,601222,8,1960-12-22,Male,12,66,60+
179,801229,43,1980-12-29,Male,12,46,46-60
180,820119,73,1982-01-19,Male,1,44,31-45
181,670706,76,1967-07-06,Male,7,59,46-60
182,595713,76,1959-07-13,Female,7,67,60+
183,785319,1,1978-03-19,Female,3,48,46-60
184,720605,1,1972-06-05,Male,6,54,46-60
185,540530,77,1954-05-30,Male,5,72,60+
186,615222,46,1961-02-22,Female,2,65,60+
187,420823,58,1942-08-23,Male,8,84,60+
188,600902,64,1960-09-02,Male,9,66,60+
189,190810,11,1919-08-10,Male,8,107,
190,476031,37,1947-10-31,Female,10,79,60+
191,540903,37,1954-09-03,Male,9,72,60+
192,710228,70,1971-02-28,Male,2,55,46-60
193,620501,1,1962-05-01,Male,5,64,60+
194,246220,28,1924-12-20,Female,12,102,
195,191118,74,1919-11-18,Male,11,107,
196,275625,74,1927-06-25,Female,6,99,60+
197,330425,30,1933-04-25,Male,4,93,60+
198,760714,60,1976-07-14,Male,7,50,46-60
199,230621,29,1923-06-21,Male,6,103,
200,285113,29,1928-01-13,Female,1,98,60+
201,305819,17,1930-08-19,Female,8,96,60+
202,766121,29,1976-11-21,Female,11,50,46-60
203,620610,31,1962-06-10,Male,6,64,60+
204,675617,31,1967-06-17,Female,6,59,46-60
205,425615,4,1942-06-15,Female,6,84,60+
